1; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 50
5; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
6; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
7; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
8; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
9; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
10; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 20
11; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
12; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
13; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
14; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
15; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
16; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
17; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
18; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
19; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
20; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
21; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
22; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
23; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
24; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 30
25; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
26; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
27; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
28; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
29; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40
30; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 40

